Set_Date,Collection_Date,SiteCode,Collection_interval,CollectionInterval_PNRCode,Treatment,Plot,PNR_Code,Traps_Dumped_copied_from_PNR_ENV_2022,Notes_Aaron,Notes_copied_from_PNR_ENV_2022,Beetle_vial_examined_Y_or_N,Total_Carabidae_during_pinning,Total_Carabidae_from_sum_of_species_counts,Agonoleptus_thoracicus,Agonum_fidele,Amarini_unknown,Amerizus_unknown,Anisodactylus_harrisi,Anisodactylus_melanopus,Anisodactylus_nigerrimus,Apenes_lucidula,Carabus_goryi,Chlaenius_emarginatus,Cyclotrachelus_fucatus,Cyclotrachelus_unknown_likely_sigillatus_or_convivus_or_mixed,Cymindis_limbata,Cymindis_platicollis,Dicaelus_politus,Dicaelus_teter,Galerita_bicolor,Harpalus_spadiceus,Lophoglossus_scrutator,Myas_coracinus,Notiophilus_aeneus,Olisthopus_unknown_likely_parmatus,Patrobus_longicornis,Platynus_angustatus,Platynus_hypolithos,Platynus_tenuicollis,Platynus_decentis,Pterostichus_adoxus,Pterostichus_atratus,Pterostichus_coracinus,Pterostichus_diligendus,Pterostichus_hamiltoni,Pterostichus_lachrymosus,Pterostichus_moestus,Pterostichus_rostratus,Pterostichus_sayanus,Pterostichus_stygicus,Pterosichus_tristis,Scaphinotus_andrewsii,Scaphinotus_imperfectus,Scaphinotus_ridingsii,Scaphinotus_viduus,Sphaeroderus_canadensis,Sphaeroderus_stenostomus,Synuchus_impunctatus,Trichotichnus_autumnalis
2022-06-15,2022-06-29,F(52/11),1,1_11,F,52,11,0,,barrier down,y,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,
2022-06-15,2022-06-29,S(53/12),1,1_12,S,53,12,0,,,y,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,
2022-06-15,2022-06-29,F(54/13),1,1_13,F,54,13,2,,NO SAMPLE,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-15,2022-06-29,W(55/14),1,1_14,W,55,14,0,,,y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-15,2022-06-29,F(56/15),1,1_15,F,56,15,0,many interesting staphylinids not removed,,y,9,9,,,1,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
2022-06-15,2022-06-29,S(57/16),1,1_16,S,57,16,0,,,y,,5,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,
2022-06-15,2022-06-29,F(58/17),1,1_17,F,58,17,0,,,y,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2022-06-15,2022-06-29,W(59/18),1,1_18,W,59,18,0,,,y,4,4,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,
2022-06-15,2022-06-29,F(60/19),1,1_19,F,60,19,0,,barrier down,y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-15,2022-06-29,S(61/20),1,1_20,S,61,20,1,,barrier down,y,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2022-06-15,2022-06-29,F(62/21),1,1_21,F,62,21,2,,NO SAMPLE,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-15,2022-06-29,W(63/22),1,1_22,W,63,22,0,,,y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-15,2022-06-29,F(64/23),1,1_23,F,64,23,0,,barrier popping up halfway,y,2,2,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2022-06-29,2022-07-13,F(41/0),2,2_0,F,41,0,0,,,y,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2022-06-29,2022-07-13,S(42/1),2,2_1,S,42,1,0,,,y,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2022-06-29,2022-07-13,W(43/2),2,2_2,W,43,2,0,,,y,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2022-06-29,2022-07-13,F(44/3),2,2_3,F,44,3,0,,,y,,13,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,,,,,,
2022-06-29,2022-07-13,F(45/4),2,2_4,F,45,4,0,,,y,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,
2022-06-29,2022-07-13,S(46/5),2,2_5,S,46,5,0,,,y,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,6,,,,,,,,,
2022-06-29,2022-07-13,W(47/6),2,2_6,W,47,6,0,,,y,,5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,2,,,,,,,,,
2022-06-29,2022-07-13,F(48/7),2,2_7,F,48,7,1,,,y,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-29,2022-07-13,S(49/8),2,2_8,S,49,8,0,,,y,,22,,,,,,,2,,,7,,,,,,,,,,,,,,,,,,1,,,,,,,,,12,,,,,,,,,
2022-06-29,2022-07-13,F(50/9),2,2_9,F,50,9,0,,,y,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-29,2022-07-13,W(51/10),2,2_10,W,51,10,0,,,y,,14,,,,,,,,,,4,,2,,,,,1,,,,,,,,,,,2,,,,,3,1,,,,1,,,,,,,,
2022-06-29,2022-07-13,F(52/11),2,2_11,F,52,11,0,,,y,,9,,,,,,,,1,,1,,,,,2,1,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,1,,
2022-06-29,2022-07-13,S(53/12),2,2_12,S,53,12,0,,,y,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,
2022-06-29,2022-07-13,F(54/13),2,2_13,F,54,13,0,,,y,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
2022-06-29,2022-07-13,W(55/14),2,2_14,W,55,14,0,,,y,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,
2022-06-29,2022-07-13,F(56/15),2,2_15,F,56,15,0,,,y,,7,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,1,,
2022-06-29,2022-07-13,S(57/16),2,2_16,S,57,16,0,,,y,,6,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,
2022-06-29,2022-07-13,F(58/17),2,2_17,F,58,17,0,,,y,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2022-06-29,2022-07-13,W(59/18),2,2_18,W,59,18,0,,,y,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,
2022-06-29,2022-07-13,F(60/19),2,2_19,F,60,19,0,,,y,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2022-06-29,2022-07-13,S(61/20),2,2_20,S,61,20,1,,,y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-29,2022-07-13,F(62/21),2,2_21,F,62,21,0,,,y,,6,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,
2022-06-29,2022-07-13,W(63/22),2,2_22,W,63,22,0,,,y,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2022-06-29,2022-07-13,F(64/23),2,2_23,F,64,23,0,,barrier down,y,,5,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,
2022-07-13,2022-07-27,F(41/0),3,3_0,F,41,0,0,,,y,,4,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2022-07-13,2022-07-27,S(42/1),3,3_1,S,42,1,0,,,y,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
2022-07-13,2022-07-27,W(43/2),3,3_2,W,43,2,0,,,y,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,1,,,,,,2,,
2022-07-13,2022-07-27,F(44/3),3,3_3,F,44,3,0,The beetle vial was in a box with Rove beetles so initially I did not find it. Now I found it and pinned the 3 carabids,,y,3,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2022-07-13,2022-07-27,F(45/4),3,3_4,F,45,4,0,,,y,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2022-07-13,2022-07-27,S(46/5),3,3_5,S,46,5,0,Initially the carabids were pinned by someone in Wooster so that is why I could not find the beetle vial. But now I have located the beetle vial.,,y,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,1,,,,,,,,,
2022-07-13,2022-07-27,W(47/6),3,3_6,W,47,6,0,,,y,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,
2022-07-13,2022-07-27,F(48/7),3,3_7,F,48,7,0,,,y,,4,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,
2022-07-13,2022-07-27,S(49/8),3,3_8,S,49,8,0,,,y,,8,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
2022-07-13,2022-07-27,F(50/9),3,3_9,F,50,9,0,,,y,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2022-07-13,2022-07-27,W(51/10),3,3_10,W,51,10,0,,,y,,8,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,
2022-07-13,2022-07-27,F(52/11),3,3_11,F,52,11,0,,,y,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-13,2022-07-27,S(53/12),3,3_12,S,53,12,0,,,y,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
2022-07-13,2022-07-27,F(54/13),3,3_13,F,54,13,0,,,y,9,9,,,,,,,,,,1,,4,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,1,,,
2022-07-13,2022-07-27,W(55/14),3,3_14,W,55,14,0,,,y,,9,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,
2022-07-13,2022-07-27,F(56/15),3,3_15,F,56,15,0,,,y,,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,
2022-07-13,2022-07-27,S(57/16),3,3_16,S,57,16,1,,,y,,7,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,2,1,,,,,,,1,,,,
2022-07-13,2022-07-27,F(58/17),3,3_17,F,58,17,0,,,y,,6,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,
2022-07-13,2022-07-27,W(59/18),3,3_18,W,59,18,0,,,y,,7,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,2,,
2022-07-13,2022-07-27,F(60/19),3,3_19,F,60,19,0,previously some beetles were pinned in wooster (?) - I just pinned one additional silphid from the beetle container,,y,,2,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2022-07-13,2022-07-27,S(61/20),3,3_20,S,61,20,0,,,y,,5,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-13,2022-07-27,F(62/21),3,3_21,F,62,21,0,,,y,,16,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,6,,,,,,,,1,4,,
2022-07-13,2022-07-27,W(63/22),3,3_22,W,63,22,0,,,y,,13,,,,,,,,,,,,3,,,,,,,,,,,,,,,,7,,,,,,1,,,,,,,,,,2,,
2022-07-13,2022-07-27,F(64/23),3,3_23,F,64,23,0,,,y,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2022-07-27,2022-08-11,F(41/0),4,4_0,F,41,0,0,,,y,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,1,,2,,,,,,,,,2,,
2022-07-27,2022-08-11,S(42/1),4,4_1,S,42,1,0,,,y,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-27,2022-08-11,W(43/2),4,4_2,W,43,2,0,,,y,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2022-07-27,2022-08-11,F(44/3),4,4_3,F,44,3,0,,,y,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2022-07-27,2022-08-11,F(45/4),4,4_4,F,45,4,0,Someone incorrectly labelled this one - making it impossible to distinguish from F(50/9),,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-27,2022-08-11,S(46/5),4,4_5,S,46,5,0,,,y,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,
2022-07-27,2022-08-11,W(47/6),4,4_6,W,47,6,0,,,y,,12,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,3,,,1,,1,1,,,1,2,,,,,,1,,
2022-07-27,2022-08-11,F(48/7),4,4_7,F,48,7,0,,,y,,3,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2022-07-27,2022-08-11,S(49/8),4,4_8,S,49,8,0,,,y,,15,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,12,,,,,,,,,
2022-07-27,2022-08-11,F(50/9),4,4_9,F,50,9,0,Someone incorrectly labelled this one - making it impossible to distinguish from F(45/4),,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-27,2022-08-11,W(51/10),4,4_10,W,51,10,0,,,y,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,
2022-07-27,2022-08-11,F(52/11),4,4_11,F,52,11,0,there are two beetle vials - 3 in first - 13 in second  - I will mark NEW on specimens from the second vial,,y,16,16,,,,,,,1,,,1,,,,,4,,,,,,,,,,,,,2,,,,,,,,,5,,,,,,1,2,,
2022-07-27,2022-08-11,S(53/12),4,4_12,S,53,12,0,,,y,,9,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,,,,,1,,,,,1,,,,,,1,,
2022-07-27,2022-08-11,F(54/13),4,4_13,F,54,13,0,,,y,,5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,
2022-07-27,2022-08-11,W(55/14),4,4_14,W,55,14,0,,,y,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
2022-07-27,2022-08-11,F(56/15),4,4_15,F,56,15,0,,,y,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-27,2022-08-11,S(57/16),4,4_16,S,57,16,0,,,y,,12,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,2,,,,1,1,,,,,2,,,,,,2,,
2022-07-27,2022-08-11,F(58/17),4,4_17,F,58,17,0,,,y,,5,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2022-07-27,2022-08-11,W(59/18),4,4_18,W,59,18,0,,,y,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2022-07-27,2022-08-11,F(60/19),4,4_19,F,60,19,0,,,y,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,
2022-07-27,2022-08-11,S(61/20),4,4_20,S,61,20,0,,,y,,9,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,4,,,,,,3,,
2022-07-27,2022-08-11,F(62/21),4,4_21,F,62,21,1,,,y,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-27,2022-08-11,W(63/22),4,4_22,W,63,22,0,,,y,,12,,,,,,,,,,,,3,,,,,,,,,,,,,,,,5,,,,,,1,,,,1,,,,,,2,,
2022-07-27,2022-08-11,F(64/23),4,4_23,F,64,23,0,,,y,,9,,,,,,,,,1,,1,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,
2022-08-11,2022-08-23,F(41/0),5,5_0,F,41,0,0,,,y,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
2022-08-11,2022-08-23,S(42/1),5,5_1,S,42,1,0,,,y,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2022-08-11,2022-08-23,W(43/2),5,5_2,W,43,2,0,,,y,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2022-08-11,2022-08-23,F(44/3),5,5_3,F,44,3,0,,,y,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,
2022-08-11,2022-08-23,F(45/4),5,5_4,F,45,4,0,,,y,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
