Treatment,Plot,PNR_Code,percent_MOISTURE1,percent_MOISTURE2,percent_MOISTURE3,percent_Moisture_Avg,SoilMoisture_Date
S,46,5,35,50,50,45,2022-07-13
W,47,6,60,35,10,35,2022-07-13
F,48,7,100,100,75,91.66666667,2022-07-13
S,49,8,70,100,50,73.33333333,2022-07-13
F,50,9,50,35,35,40,2022-07-13
W,51,10,35,35,35,35,2022-07-13
F,52,11,50,50,50,50,2022-07-13
S,53,12,35,35,50,40,2022-07-13
F,54,13,50,50,35,45,2022-07-13
W,55,14,70,100,100,90,2022-07-13
F,56,15,35,35,35,35,2022-07-13
S,57,16,50,50,50,50,2022-07-13
F,58,17,35,35,50,40,2022-07-13
W,59,18,50,35,35,40,2022-07-13
F,60,19,50,50,50,50,2022-07-13
S,61,20,35,35,50,40,2022-07-13
F,62,21,50,50,50,50,2022-07-13
W,63,22,35,35,50,40,2022-07-13
F,64,23,50,50,50,50,2022-07-13
F,41,0,50,50,70,56.66666667,2022-07-27
S,42,1,90,50,90,76.66666667,2022-07-27
W,43,2,100,100,70,90,2022-07-27
F,44,3,90,90,70,83.33333333,2022-07-27
F,45,4,50,50,50,50,2022-07-27
S,46,5,50,50,50,50,2022-07-27
W,47,6,35,35,15,28.33333333,2022-07-27
F,48,7,70,70,70,70,2022-07-27
S,49,8,35,50,50,45,2022-07-27
F,50,9,70,50,35,51.66666667,2022-07-27
W,51,10,70,50,50,56.66666667,2022-07-27
F,52,11,50,15,50,38.33333333,2022-07-27
S,53,12,35,50,35,40,2022-07-27
F,54,13,35,35,15,28.33333333,2022-07-27
W,55,14,80,100,50,76.66666667,2022-07-27
F,56,15,35,35,15,28.33333333,2022-07-27
S,57,16,70,50,70,63.33333333,2022-07-27
F,58,17,35,35,35,35,2022-07-27
W,59,18,35,35,50,40,2022-07-27
F,60,19,75,35,75,61.66666667,2022-07-27
S,61,20,50,70,70,63.33333333,2022-07-27
F,62,21,50,50,35,45,2022-07-27
W,63,22,40,50,35,41.66666667,2022-07-27
F,64,23,60,50,35,48.33333333,2022-07-27
F,41,0,30,40,30,33.33333333,2022-08-11
S,42,1,40,50,40,43.33333333,2022-08-11
W,43,2,35,50,90,58.33333333,2022-08-11
F,44,3,55,30,80,55,2022-08-11
F,45,4,30,40,20,30,2022-08-11
S,46,5,50,30,30,36.66666667,2022-08-11
W,47,6,40,40,40,40,2022-08-11
F,48,7,50,30,70,50,2022-08-11
S,49,8,60,30,60,50,2022-08-11
F,50,9,50,30,40,40,2022-08-11
W,51,10,40,30,20,30,2022-08-11
F,52,11,20,20,20,20,2022-08-11
S,53,12,30,30,40,33.33333333,2022-08-11
F,54,13,40,20,10,23.33333333,2022-08-11
W,55,14,30,30,50,36.66666667,2022-08-11
F,56,15,20,20,10,16.66666667,2022-08-11
S,57,16,60,60,30,50,2022-08-11
F,58,17,25,20,20,21.66666667,2022-08-11
W,59,18,40,20,20,26.66666667,2022-08-11
F,60,19,40,20,50,36.66666667,2022-08-11
S,61,20,40,25,10,25,2022-08-11
F,62,21,20,20,25,21.66666667,2022-08-11
W,63,22,50,50,50,50,2022-08-11
F,64,23,70,40,80,63.33333333,2022-08-11
F,41,0,35,35,40,36.66666667,2022-08-23
S,42,1,55,30,40,41.66666667,2022-08-23
W,43,2,80,70,60,70,2022-08-23
F,44,3,60,65,60,61.66666667,2022-08-23
F,45,4,30,35,60,41.66666667,2022-08-23
S,46,5,60,40,50,50,2022-08-23
W,47,6,60,40,50,50,2022-08-23
F,48,7,55,50,50,51.66666667,2022-08-23
S,49,8,50,60,60,56.66666667,2022-08-23
F,50,9,20,60,50,43.33333333,2022-08-23
W,51,10,20,30,60,36.66666667,2022-08-23
F,52,11,20,40,20,26.66666667,2022-08-23
S,53,12,50,30,60,46.66666667,2022-08-23
F,54,13,20,30,30,26.66666667,2022-08-23
W,55,14,85,50,50,61.66666667,2022-08-23
F,56,15,30,35,20,28.33333333,2022-08-23
S,57,16,50,45,55,50,2022-08-23
F,58,17,60,55,45,53.33333333,2022-08-23
W,59,18,10,10,20,13.33333333,2022-08-23
F,60,19,40,40,40,40,2022-08-23
S,61,20,20,30,60,36.66666667,2022-08-23
F,62,21,40,50,40,43.33333333,2022-08-23
W,63,22,30,50,55,45,2022-08-23
F,64,23,65,90,80,78.33333333,2022-08-23
F,41,0,40,50,40,43.33333333,2022-09-06
S,42,1,60,70,60,63.33333333,2022-09-06
W,43,2,70,70,95,78.33333333,2022-09-06
F,44,3,30,50,75,51.66666667,2022-09-06
F,45,4,40,50,40,43.33333333,2022-09-06
S,46,5,50,50,55,51.66666667,2022-09-06
W,47,6,55,70,40,55,2022-09-06
F,48,7,60,45,65,56.66666667,2022-09-06
S,49,8,60,40,50,50,2022-09-06
F,50,9,30,50,30,36.66666667,2022-09-06
W,51,10,65,30,40,45,2022-09-06
F,52,11,50,30,30,36.66666667,2022-09-06
S,53,12,40,30,50,40,2022-09-06
F,54,13,25,40,35,33.33333333,2022-09-06
W,55,14,50,80,60,63.33333333,2022-09-06
F,56,15,50,30,50,43.33333333,2022-09-06
S,57,16,40,60,40,46.66666667,2022-09-06
F,58,17,35,40,55,43.33333333,2022-09-06
W,59,18,20,30,40,30,2022-09-06
F,60,19,60,80,30,56.66666667,2022-09-06
S,61,20,30,50,50,43.33333333,2022-09-06
F,62,21,40,45,40,41.66666667,2022-09-06
W,63,22,50,40,60,50,2022-09-06
F,64,23,60,60,50,56.66666667,2022-09-06
F,41,0,40,45,55,46.66666667,2022-09-20
S,42,1,55,60,70,61.66666667,2022-09-20
W,43,2,100,100,100,100,2022-09-20
F,44,3,90,90,60,80,2022-09-20
F,45,4,30,60,60,50,2022-09-20
S,46,5,50,40,55,48.33333333,2022-09-20
W,47,6,30,40,40,36.66666667,2022-09-20
F,48,7,70,60,50,60,2022-09-20
S,49,8,65,70,70,68.33333333,2022-09-20
F,50,9,50,35,50,45,2022-09-20
W,51,10,40,50,30,40,2022-09-20
F,52,11,30,20,20,23.33333333,2022-09-20
S,53,12,30,40,40,36.66666667,2022-09-20
F,54,13,30,30,30,30,2022-09-20
W,55,14,70,100,100,90,2022-09-20
F,56,15,30,40,20,30,2022-09-20
S,57,16,50,40,60,50,2022-09-20
F,58,17,30,40,40,36.66666667,2022-09-20
W,59,18,30,20,20,23.33333333,2022-09-20
F,60,19,60,70,50,60,2022-09-20
S,61,20,60,50,40,50,2022-09-20
F,62,21,30,40,65,45,2022-09-20
W,63,22,70,60,60,63.33333333,2022-09-20
F,64,23,50,55,60,55,2022-09-20
