Treatment,Plot,PNR_Code,Veg1,Veg2,VegAvg,Litter1,Litter2,LitterAvg,BareG1,BareG2,BareGAvg,FWD1,FWD2,FWDAvg,CWD1,CWD2,CWDAvg,Rock1,Rock2,RockAvg,VegHt1,VegHt2,VegHtAvg,Date,Date_yyyy-mm-dd
S,53,12,25,25,25,20,10,15,20,30,25,20,25,22.5,15,10,12.5,0,0,0,0.25,0.15,0.20,July 13 2022,2022-07-13
F,52,11,60,70,65,10,10,10,5,10,7.5,15,10,12.5,10,0,5,0,0,0,0.35,0.25,0.30,July 13 2022,2022-07-13
W,51,10,50,60,55,20,10,15,30,0,15,10,10,10,0,20,10,0,0,0,0.50,0.75,0.63,July 13 2022,2022-07-13
F,50,9,15,15,15,70,80,75,0,0,0,10,5,7.5,0,0,0,0,0,0,0.75,0.15,0.45,July 13 2022,2022-07-13
S,49,8,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,1.25,1.25,July 13 2022,2022-07-13
F,48,7,50,15,32.5,25,30,27.5,5,35,20,10,10,10,10,5,7.5,0,5,2.5,0.35,0.15,0.25,July 13 2022,2022-07-13
W,47,6,60,75,67.5,20,10,15,10,0,5,10,15,12.5,0,0,0,0,0,0,0.50,0.75,0.63,July 13 2022,2022-07-13
S,46,5,80,50,65,10,20,15,0,0,0,10,15,12.5,0,15,7.5,0,0,0,0.75,0.25,0.50,July 13 2022,2022-07-13
F,45,4,10,15,12.5,80,70,75,0,0,0,10,15,12.5,0,0,0,0,0,0,0.15,0.15,0.15,July 13 2022,2022-07-13
F,44,3,25,50,37.5,50,20,35,10,0,5,15,15,15,0,15,7.5,0,0,0,0.15,0.25,0.20,July 13 2022,2022-07-13
W,43,2,50,15,32.5,30,75,52.5,5,0,2.5,15,10,12.5,0,0,0,0,0,0,0.75,0.75,0.75,July 13 2022,2022-07-13
S,42,1,10,5,7.5,80,90,85,0,0,0,10,5,7.5,0,0,0,0,0,0,0.15,0.15,0.15,July 13 2022,2022-07-13
F,41,0,25,50,37.5,30,15,22.5,25,15,20,10,20,15,0,0,0,10,0,5,0.50,0.50,0.50,July 13 2022,2022-07-13
F,64,23,25,40,32.5,70,20,45,0,0,0,5,0,2.5,0,40,20,0,0,0,0.25,0.40,0.33,June 1 2022,2022-06-01
W,63,22,30,10,20,70,75,72.5,10,0,5,0,10,5,0,0,0,0,5,2.5,0.40,0.25,0.33,June 1 2022,2022-06-01
F,62,21,25,25,25,55,65,60,0,0,0,10,5,7.5,0,0,0,10,5,7.5,0.20,0.20,0.20,June 1 2022,2022-06-01
S,61,20,30,20,25,40,50,45,20,0,10,10,5,7.5,0,0,0,0,25,12.5,0.30,0.25,0.28,June 1 2022,2022-06-01
F,60,19,25,30,27.5,65,50,57.5,0,0,0,5,10,7.5,0,0,0,5,10,7.5,0.25,0.25,0.25,June 1 2022,2022-06-01
W,59,18,25,35,30,65,60,62.5,0,0,0,10,0,5,0,0,0,0,5,2.5,0.25,0.35,0.30,June 1 2022,2022-06-01
F,58,17,60,50,55,35,40,37.5,0,0,0,5,5,5,0,0,0,0,5,2.5,0.50,0.50,0.50,June 1 2022,2022-06-01
S,57,16,50,30,40,20,35,27.5,0,0,0,20,5,12.5,0,25,12.5,10,5,7.5,0.50,0.50,0.50,June 1 2022,2022-06-01
F,56,15,30,25,27.5,65,40,52.5,0,0,0,5,5,5,0,30,15,0,0,0,0.25,0.40,0.33,June 1 2022,2022-06-01
W,55,14,40,30,35,55,65,60,0,0,0,5,5,5,0,0,0,0,0,0,0.35,0.25,0.30,June 1 2022,2022-06-01
F,54,13,25,20,22.5,50,55,52.5,0,0,0,5,10,7.5,0,0,0,20,15,17.5,0.30,0.25,0.28,June 1 2022,2022-06-01
S,53,12,20,25,22.5,60,55,57.5,0,0,0,15,20,17.5,5,0,2.5,0,0,0,0.20,0.20,0.20,June 1 2022,2022-06-01
F,44,3,25,30,27.5,60,60,60,5,0,2.5,5,10,7.5,0,0,0,5,0,2.5,0.25,0.50,0.38,June 1 2022,2022-06-01
F,41,0,15,10,12.5,80,85,82.5,0,0,0,5,5,5,0,0,0,0,0,0,0.25,0.15,0.20,June 1 2022,2022-06-01
F,52,11,65,30,47.5,30,55,42.5,0,0,0,5,15,10,0,0,0,0,0,0,0.50,0.25,0.38,June 2 2022,2022-06-02
W,51,10,70,50,60,30,50,40,0,0,0,0,0,0,0,0,0,0,0,0,0.50,0.30,0.40,June 2 2022,2022-06-02
F,50,9,20,25,22.5,80,70,75,0,0,0,0,5,2.5,0,0,0,0,0,0,0.25,0.20,0.23,June 2 2022,2022-06-02
S,49,8,90,85,87.5,10,15,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0.60,0.75,0.68,June 2 2022,2022-06-02
F,48,7,40,30,35,55,60,57.5,0,0,0,5,10,7.5,0,0,0,0,0,0,0.40,0.25,0.33,June 2 2022,2022-06-02
W,47,6,40,70,55,40,25,32.5,0,0,0,5,5,5,10,0,5,5,0,2.5,0.50,0.60,0.55,June 2 2022,2022-06-02
S,46,5,65,50,57.5,25,40,32.5,0,0,0,10,10,10,0,0,0,0,0,0,0.50,0.50,0.50,June 2 2022,2022-06-02
F,45,4,10,10,10,55,70,62.5,0,0,0,10,10,10,0,10,5,25,0,12.5,0.20,0.40,0.30,June 2 2022,2022-06-02
W,43,2,15,15,15,65,85,75,0,0,0,0,0,0,0,0,0,20,0,10,0.50,0.25,0.38,June 2 2022,2022-06-02
S,42,1,25,35,30,65,60,62.5,0,0,0,10,10,10,0,0,0,0,5,2.5,0.25,0.35,0.30,June 2 2022,2022-06-02
F,64,23,30,30,30,35,50,42.5,0,0,0,5,10,7.5,0,0,0,30,10,20,0.20,0.40,0.30,Sep 6 2022,2022-09-06
W,63,22,30,5,17.5,45,75,60,20,0,10,5,10,7.5,0,0,0,0,10,5,0.20,0.10,0.15,Sep 6 2022,2022-09-06
F,62,21,25,10,17.5,40,65,52.5,5,5,5,20,10,15,0,0,0,20,20,20,0.40,0.30,0.35,Sep 6 2022,2022-09-06
S,61,20,20,15,17.5,60,55,57.5,0,0,0,15,5,10,0,25,12.5,5,0,2.5,0.20,0.30,0.25,Sep 6 2022,2022-09-06
F,60,19,5,40,22.5,65,45,55,0,0,0,10,5,7.5,0,0,0,20,10,15,0.10,0.30,0.20,Sep 6 2022,2022-09-06
W,59,18,30,40,35,55,30,42.5,0,0,0,5,10,7.5,0,0,0,0,10,5,0.20,0.10,0.15,Sep 6 2022,2022-09-06
F,58,17,25,60,42.5,60,35,47.5,0,0,0,10,5,7.5,0,0,0,5,0,2.5,0.20,0.30,0.25,Sep 6 2022,2022-09-06
S,57,16,30,30,30,40,45,42.5,0,0,0,10,5,7.5,0,0,0,20,20,20,0.40,0.30,0.35,Sep 6 2022,2022-09-06
F,56,15,5,25,15,70,65,67.5,0,0,0,10,10,10,15,0,7.5,0,0,0,0.20,0.30,0.25,Sep 6 2022,2022-09-06
W,55,14,25,30,27.5,65,60,62.5,0,0,0,10,10,10,0,0,0,0,0,0,0.50,0.20,0.35,Sep 6 2022,2022-09-06
F,54,13,20,10,15,25,60,42.5,0,5,2.5,5,20,12.5,0,0,0,50,5,27.5,0.30,0.20,0.25,Sep 6 2022,2022-09-06
S,53,12,5,20,12.5,75,70,72.5,5,0,2.5,15,10,12.5,0,0,0,0,0,0,0.10,0.20,0.15,Sep 6 2022,2022-09-06
F,52,11,25,40,32.5,70,45,57.5,0,0,0,5,10,7.5,0,0,0,0,5,2.5,0.20,0.30,0.25,Sep 6 2022,2022-09-06
W,51,10,60,40,50,35,40,37.5,0,0,0,5,10,7.5,0,10,5,0,0,0,0.40,0.30,0.35,Sep 6 2022,2022-09-06
F,50,9,15,10,12.5,80,75,77.5,0,0,0,5,5,5,0,0,0,0,10,5,0.30,0.20,0.25,Sep 6 2022,2022-09-06
S,49,8,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.60,0.68,Sep 6 2022,2022-09-06
F,48,7,25,25,25,65,65,65,0,0,0,10,10,10,0,0,0,0,0,0,0.20,0.30,0.25,Sep 6 2022,2022-09-06
W,47,6,50,70,60,30,15,22.5,0,0,0,10,5,7.5,0,10,5,10,2,6,0.30,0.70,0.50,Sep 6 2022,2022-09-06
S,46,5,50,25,37.5,30,55,42.5,0,0,0,10,10,10,10,0,5,0,10,5,0.40,0.30,0.35,Sep 6 2022,2022-09-06
F,45,4,15,10,12.5,75,70,72.5,0,0,0,10,20,15,0,0,0,0,0,0,0.30,0.20,0.25,Sep 6 2022,2022-09-06
F,44,3,10,15,12.5,80,70,75,0,0,0,10,15,12.5,0,0,0,0,0,0,0.20,0.20,0.20,Sep 6 2022,2022-09-06
W,43,2,15,20,17.5,80,55,67.5,0,0,0,5,5,5,0,0,0,0,20,10,0.40,0.30,0.35,Sep 6 2022,2022-09-06
S,42,1,25,10,17.5,60,60,60,0,0,0,10,10,10,5,10,7.5,0,10,5,0.30,0.20,0.25,Sep 6 2022,2022-09-06
F,41,0,30,40,35,65,40,52.5,0,0,0,5,10,7.5,0,10,5,0,0,0,0.40,0.50,0.45,Sep 6 2022,2022-09-06
