Treatment,Plot,SoilTemp1,SoilTemp2,SoilTemp3,SoilMoist1,SoilMoist2,SoilMoist3,Traps Dumped,Interval,Date
Light+Veg,12,22.5,23,22.5,0.455,0.667,0.776,,4,7/21/2015
Veg,13,18,19,18,0.615,0.619,0.631,,4,7/21/2015
Light,14,20,20,20,0.676,0.91,0.847,,4,7/21/2015
Light,15,20,22,20,0.745,0.669,0.741,,4,7/21/2015
Veg,16,21,21.5,21,0.574,0.596,0.664,,4,7/21/2015
Light,17,19.5,17,19.5,1.016,1.048,1.081,,4,7/21/2015
Veg,18,22,20,22,0.926,0.956,0.907,,4,7/21/2015
Control,19,22,19.5,22,0.78,0.776,0.692,,4,7/21/2015
Light,20,17,20,17,0.846,0.663,0.777,,4,7/21/2015
Control,25,22,19,22,0.669,0.7,0.585,,4,7/21/2015
Light+Veg,26,23,20,23,0.86,0.835,0.897,,4,7/21/2015
Control,27,23,19,23,0.688,0.803,0.548,,4,7/21/2015
Light+Veg,28,23,20,23,0.836,0.677,0.741,,4,7/21/2015
Control,29,21,22,21,0.609,0.541,0.787,,4,7/21/2015
Control,30,21,21,21,0.659,0.7,0.776,,4,7/21/2015
Control,31,21.5,20.5,21.5,0.745,0.694,0.658,,4,7/21/2015
Control,32,21.5,20.5,21.5,0.72,0.722,0.734,,4,7/21/2015
Control,33,16,21,16,0.459,0.38,0.57,,4,7/21/2015
Control,34,16.5,20,16.5,0.415,0.553,0.497,,4,7/21/2015
Control,35,16,20,16,0.517,0.626,0.667,,4,7/21/2015
Control,36,16,20,16,0.11,0.112,0.123,,4,7/21/2015
Control,37,21,20,21,0.91,0.894,0.928,,4,7/21/2015
Control,38,21,20,21,1.103,1.11,1.079,,4,7/21/2015
Control,39,20.5,21,20.5,0.743,0.814,0.8,,4,7/21/2015
Control,40,20,19,20,0.771,0.667,0.809,,4,7/21/2015
F,41,20,18.5,20,0.847,0.899,0.841,,4,7/22/2015
BS,42,16,20,16,0.752,0.477,0.427,,4,7/22/2015
B,43,16,19,16,0.705,0.602,0.687,,4,7/22/2015
F,44,16,18,16,0.728,0.792,0.762,,4,7/22/2015
F,45,16,18.5,16,0.965,0.877,0.934,,4,7/22/2015
BS,46,16,20,16,0.606,0.515,0.759,,4,7/22/2015
B,47,15,17.5,15,0.944,0.865,0.887,,4,7/22/2015
F,48,16,18,16,0.65,0.429,0.509,,4,7/22/2015
BS,49,15,19,15,1.025,1.049,1.012,,4,7/22/2015
F,50,15,18,15,0.866,0.794,0.834,,4,7/22/2015
B,51,16,17.5,16,0.794,0.781,0.503,,4,7/22/2015
F,52,16,18,16,0.594,0.517,0.494,,4,7/22/2015
BS,53,16.5,20,16.5,0.398,0.266,0.253,,4,7/22/2015
F,54,16,18.5,16,0.385,0.467,0.216,,4,7/22/2015
B,55,16,18.5,16,0.28,0.14,0.512,,4,7/22/2015
F,56,15.5,18,15.5,0.373,0.275,0.202,,4,7/22/2015
B,57,17,20,17,0.287,0.267,0.288,,4,7/22/2015
F,58,15,18.5,15,0.738,0.637,0.294,,4,7/22/2015
BS,59,15.5,18.5,15.5,0.604,0.477,0.503,,4,7/22/2015
F,60,15,18,15,0.12,0.34,0.417,,4,7/22/2015
BS,61,15,19.5,15,0.519,0.612,0.596,,4,7/22/2015
F,62,15,19,15,0.771,0.613,0.589,,4,7/22/2015
F,64,15,19,15,0.677,0.637,0.68,,4,7/22/2015
B,65,15.5,19,15.5,0.522,0.584,0.535,,4,7/22/2015
Light,1,16,16.5,16,0.571,0.562,0.623,,5,8/6/2015
Control,2,16,16,16,0.293,0.202,0.22,3 cups,5,8/6/2015
Veg,3,16,16,16,0.637,0.257,0.26,2 cups,5,8/6/2015
Control,4,17,16.5,17,0.478,0.392,0.399,,5,8/6/2015
Veg,5,18,17.5,18,0.384,0.455,0.369,2 cups,5,8/6/2015
Light,6,18,18.5,18,0.822,0.836,0.703,,5,8/6/2015
Light+Veg,7,18.5,19,18.5,0.377,0.289,0.233,2 cups,5,8/6/2015
Light+Veg,8,19,18.5,19,0.448,0.417,0.318,,5,8/6/2015
Veg,9,17,17,17,0.213,0.293,0.345,,5,8/6/2015
Light+Veg,10,18,17.5,18,0.335,0.445,0.375,,5,8/6/2015
Control,11,17.5,17,17.5,0.364,0.373,0.402,,5,8/6/2015
Light+Veg,12,18.5,19,18.5,0.456,0.411,0.306,2 cups,5,8/6/2015
Veg,13,16,16,16,0.271,0.324,0.257,2 cups,5,8/6/2015
Light,14,15.5,16,15.5,0.657,0.447,0.767,,5,8/6/2015
Light,15,16,15.5,16,0.412,0.294,0.234,,5,8/6/2015
Veg,16,16,16,16,0.332,0.354,0.288,,5,8/6/2015
Light,17,14,14.5,14,0.902,0.992,0.936,,5,8/6/2015
Veg,18,15,15,15,0.592,0.422,0.33,,5,8/6/2015
Control,19,15,15,15,0.377,0.335,0.277,,5,8/6/2015
Light,20,15,15,15,0.247,0.53,0.268,,5,8/6/2015
Control,25,15,14,15,0.263,0.337,0.261,,5,8/6/2015
Light+Veg,26,15,15.5,15,0.72,0.631,0.555,2 cups,5,8/6/2015
Control,27,15,14,15,0.308,0.263,0.263,,5,8/6/2015
Light+Veg,28,15,15,15,0.48,0.687,0.469,,5,8/6/2015
Control,29,16,16.5,16,0.11,0.24,0.235,,5,8/6/2015
Control,30,17,16.5,17,0.332,0.248,0.27,4 cups,5,8/6/2015
Control,31,16,16.5,16,0.114,0.115,0.116,3 cups,5,8/6/2015
Control,32,17,16.5,17,0.345,0.315,0.271,,5,8/6/2015
Control,33,20,19,20,0.401,0.335,0.26,,5,8/5/2015
Control,34,20.5,19.5,20.5,0.244,0.259,0.274,,5,8/5/2015
Control,35,20,20.5,20,0.409,0.238,0.408,,5,8/5/2015
Control,36,19.5,20,19.5,0.308,0.23,0.217,"dumped, no sample",5,8/5/2015
Control,37,15,15,15,0.34,0.355,0.502,,5,8/6/2015
Control,38,15.5,15,15.5,1.086,1.059,1.075,,5,8/6/2015
Control,39,15,15.5,15,0.31,0.383,0.308,,5,8/6/2015
Control,40,15.5,15,15.5,0.442,0.299,0.268,,5,8/6/2015
F,41,20.5,21,20.5,0.319,0.39,0.67,,5,8/5/2015
BS,42,32,32.5,32,0.28,0.32,0.26,,5,8/5/2015
B,43,20,21,20,0.246,0.267,0.377,"dumped, no sample",5,8/5/2015
F,44,20,20,20,0.475,0.352,0.465,,5,8/5/2015
F,45,20,19.5,20,0.659,0.634,0.457,,5,8/5/2015
BS,46,22,24.5,22,0.41,0.382,0.289,,5,8/5/2015
B,47,22.5,22.5,22.5,0.588,0.619,0.675,,5,8/5/2015
F,48,20,19.5,20,0.232,0.216,0.398,,5,8/5/2015
BS,49,20,19.5,20,0.397,0.396,1.061,,5,8/5/2015
F,50,20,19,20,0.471,0.325,0.518,,5,8/5/2015
B,51,20,20,20,0.421,0.344,0.376,,5,8/5/2015
F,52,19,19,19,0.318,0.318,0.2,,5,8/5/2015
BS,53,22,28,22,0.278,0.219,0.194,,5,8/5/2015
F,54,21,20.5,21,0.197,0.157,0.153,2 cups,5,8/5/2015
B,55,21,21,21,0.187,0.181,0.282,ticks!,5,8/5/2015
F,56,20,20,20,0.218,0.232,0.192,,5,8/5/2015
B,57,26,28.5,26,0.261,0.322,0.298,2 cups,5,8/5/2015
F,58,19.5,20.5,19.5,0.434,0.411,0.288,,5,8/5/2015
BS,59,22.5,22,22.5,0.328,0.267,0.274,,5,8/5/2015
F,60,20.5,20.5,20.5,0.101,0.187,0.172,2 cups,5,8/5/2015
BS,61,25,24.5,25,0.254,0.209,0.201,,5,8/5/2015
F,62,22,21,22,0.293,0.329,0.226,,5,8/5/2015
F,64,21,19,21,0.095,0.247,0.334,,5,8/5/2015
B,65,23,22,23,0.141,0.244,0.21,,5,8/5/2015
Light,1,20,20.5,20,.,0.803,0.786,,6,8/18/2015
Control,2,20,20.5,20,.,0.582,0.66,,6,8/18/2015
Veg,3,21,20.5,21,.,0.671,0.594,,6,8/18/2015
Control,4,20.5,21,20.5,.,0.603,0.389,,6,8/18/2015
Veg,5,20.5,21,20.5,.,0.685,0.728,,6,8/18/2015
Light,6,20,20.5,20,.,0.97,0.993,,6,8/18/2015
Light+Veg,7,23,23.5,23,.,0.57,0.507,,6,8/18/2015
Light+Veg,8,22,22.5,22,.,0.67,0.607,,6,8/18/2015
Veg,9,21,21.5,21,.,0.602,0.463,,6,8/18/2015
Light+Veg,10,21.5,22,21.5,.,0.63,0.573,,6,8/18/2015
Control,11,20,20.5,20,.,0.645,0.598,,6,8/18/2015
Light+Veg,12,20.5,21,20.5,.,0.652,0.637,,6,8/18/2015
Veg,13,20,20.5,20,.,0.477,0.433,,6,8/18/2015
Light,14,18.5,19,18.5,.,0.745,0.724,,6,8/18/2015
Light,15,19.5,20,19.5,.,0.508,0.492,,6,8/18/2015
Veg,16,19,19,19,.,0.518,0.48,,6,8/18/2015
Light,17,18,19,18,.,1.003,1.039,,6,8/18/2015
Veg,18,19,19.5,19,.,0.417,0.432,,6,8/18/2015
Control,19,19,18.5,19,.,0.359,0.308,,6,8/18/2015
Light,20,19,19.5,19,.,0.335,0.493,,6,8/18/2015
Control,25,19,19.5,19,.,0.542,0.528,,6,8/18/2015
Light+Veg,26,18.5,19,18.5,.,0.694,0.727,,6,8/18/2015
Control,27,18,18.5,18,.,0.509,0.419,,6,8/18/2015
Light+Veg,28,19.5,20,19.5,.,0.476,0.737,,6,8/18/2015
Control,29,20,20.5,20,.,0.728,0.75,,6,8/18/2015
Control,30,20,20.5,20,.,0.554,0.602,,6,8/18/2015
Control,31,20,20,20,.,0.531,0.514,,6,8/18/2015
Control,32,20,21,20,.,0.648,0.58,,6,8/18/2015
Control,33,25,26,25,.,0.303,0.25,,6,8/17/2015
Control,34,26,26.5,26,.,0.226,0.297,,6,8/17/2015
Control,35,23,22,23,.,0.256,0.235,,6,8/17/2015
Control,36,23,23.5,23,.,0.148,0.135,,6,8/17/2015
Control,37,19,19,19,.,0.44,0.317,,6,8/18/2015
Control,38,19,20,19,.,1.13,1.094,,6,8/18/2015
Control,39,18.5,19,18.5,.,0.499,0.467,,6,8/18/2015
Control,40,19,19,19,.,0.694,0.681,,6,8/18/2015
F,41,22,22.5,22,.,0.287,0.322,,6,8/17/2015
BS,42,30,31,30,.,0.216,0.214,,6,8/17/2015
B,43,25,24,25,.,0.14,0.222,,6,8/17/2015
F,44,24,24.5,24,.,0.373,0.395,1,6,8/17/2015
F,45,22,22.5,22,.,0.354,0.44,,6,8/17/2015
BS,46,25,26,25,.,0.236,0.18,,6,8/17/2015
B,47,22,22.5,22,.,0.435,0.317,,6,8/17/2015
F,48,21,21.5,21,.,0.261,0.201,,6,8/17/2015
BS,49,20,20.5,20,.,0.793,0.79,,6,8/17/2015
F,50,22,22.5,22,0.273,0.245,0.315,,6,8/17/2015
B,51,20.5,20,20.5,.,0.302,0.219,,6,8/17/2015
F,52,22,21.5,22,.,0.223,0.237,,6,8/17/2015
BS,53,24,25,24,.,0.265,0.249,,6,8/17/2015
F,54,23,22,23,.,0.138,0.142,,6,8/17/2015
B,55,26,26.5,26,.,0.156,0.171,,6,8/17/2015
F,56,27,26,27,.,0.25,0.167,,6,8/17/2015
B,57,27.5,27,27.5,.,0.185,0.192,,6,8/17/2015
F,58,23,24,23,.,0.404,0.129,,6,8/17/2015
BS,59,25,25.5,25,.,0.24,0.243,,6,8/17/2015
F,60,27,26,27,.,0.178,0.13,2 cups,6,8/17/2015
BS,61,24,25,24,.,0.195,0.191,,6,8/17/2015
F,62,22,21,22,.,0.262,0.291,,6,8/17/2015
F,64,24,24.5,24,.,0.256,0.19,,6,8/17/2015
B,65,27,26,27,.,0.18,0.207,,6,8/17/2015
