"Plot","PNR_Code","Area","Transect","Treatment","latitude","longitude","Elev_ft","Elev_m","days_active","num_nonmissing_intervals","Agonoleptus_thoracicus","Agonum_ferreum","Agonum_fidele","Agonum_retractum","Amerizus_unknown","Amphasia_interstitialis","Anisodactylus_harrisii","Anisodactylus_melanopus","Anisodactylus_nigerrimus","Apenes_lucidula","Carabus_goryi","Chlaenius_emarginatus","Chlaenius_laticollis","Cyclotrachelus_convivus","Cyclotrachelus_fucatus","Cyclotrachelus_sigillatus","Cymindis_limbata","Cymindis_platicollis","Dicaelus_politus","Dicaelus_teter","Galerita_bicolor","Harpalus_spadiceus","Lophoglossus_scrutator","Myas_coracinus","Notiobia_nitidipennis","Notiophilus_aeneus","Olisthopus_parmatus","Patrobus_longicornis","Platynus_angustatus","Platynus_decentis","Platynus_hypolithos","Platynus_tenuicollis","Pseudamara_arenaria","Pterostichus_adoxus","Pterostichus_atratus","Pterostichus_coracinus","Pterostichus_corvinus","Pterostichus_diligendus","Pterostichus_hamiltoni","Pterostichus_lachrymosus","Pterostichus_melanarius","Pterostichus_moestus","Pterostichus_mutus","Pterostichus_rostratus","Pterostichus_sayanus","Pterostichus_stygicus","Pterostichus_tristis","Scaphinotus_andrewsii","Scaphinotus_imperfectus","Scaphinotus_ridingsii","Scaphinotus_viduus","Sphaeroderus_canadensis","Sphaeroderus_stenostomus","Synuchus_impunctatus","Trichotichnus_autumnalis","total_count_stdz","species_richness","shannon_diversity","mean_pairwise_distance","open_habitat_spp_stdz","eurytopic_spp_stdz","forest_specialist_spp_stdz","PC1","PC2","PC3","body_length","eye_length_standard","eye_protrusion_ratio","pronotum_width_standard","abdomen_width_standard","rear_leg_length_standard","antenna_rear_leg_ratio","rear_trochanter_length_standard","antenna_length_standard","Water_affinity","Flight_capability"
51,10,"southwest","C","Windthrow",40.14182,-79.27952,1661.58,506.45,111,8,0,0,0,0,0,0,0,0,0,0,0,0.0720720720720721,0,0,0,0.0540540540540541,0,0,0,0,0.00900900900900901,0.00900900900900901,0,0,0,0,0,0,0,0,0,0.00900900900900901,0,0.045045045045045,0,0,0,0,0,0.0900900900900901,0,0.018018018018018,0,0,0,0.018018018018018,0.027027027027027,0,0,0,0,0,0.0990990990990991,0,0,0.45045045045045,11,8.11679150170652,0.205561375032629,0,0.342342342342342,0.108108108108108,-0.114243202367659,0.800787753722604,-0.328234358289896,15.5955,0.0460307479266307,1.10786876596558,0.26444667891095,0.35836612733542,0.742562669841553,0.601029013398049,0.107546594184305,0.447033107372331,0.7,0.2
52,11,"southwest","C","Forest",40.14174,-79.27862,1681.66,512.57,98,7,0,0,0,0,0,0,0,0,0.0102040816326531,0.0102040816326531,0.0102040816326531,0.0204081632653061,0,0,0,0,0,0,0.0918367346938776,0.0204081632653061,0,0,0,0,0,0,0,0,0.13265306122449,0,0,0.0102040816326531,0,0.122448979591837,0,0,0,0,0,0.0714285714285714,0,0.0102040816326531,0,0,0,0.0612244897959184,0.0102040816326531,0,0.0102040816326531,0.0102040816326531,0,0.0102040816326531,0.0408163265306122,0,0,0.653061224489796,17,10.5086273582093,0.184425153895403,0.0102040816326531,0.204081632653061,0.438775510204082,0.403195588194508,0.455613233538637,-0.71775375815743,15.0256041666667,0.0496941466847128,1.08633143242964,0.256302650911629,0.352550052970714,0.790991517287389,0.613485219129711,0.101267073178497,0.489802816329488,0.796875,0.0703125
53,12,"northeast","D","Salvaged",40.14405,-79.27582,1754.99,534.92,112,8,0.00892857142857143,0,0,0,0,0,0,0,0,0,0,0.00892857142857143,0,0,0,0.0267857142857143,0,0,0,0,0.00892857142857143,0,0,0,0,0,0,0,0.0535714285714286,0,0,0,0,0.0892857142857143,0.00892857142857143,0,0,0,0,0.0535714285714286,0,0.00892857142857143,0,0,0,0.00892857142857143,0.0357142857142857,0,0,0,0,0,0.0357142857142857,0.00892857142857143,0,0.357142857142857,13,9.17103865260097,0.177261045963519,0,0.160714285714286,0.1875,0.078164109659586,0.595290996380825,-0.697928940836644,15.2655,0.0491437020476698,1.0897551073201,0.256530472343821,0.350829154799292,0.766108949724091,0.596908629445096,0.105799210787335,0.461418384512334,0.769230769230769,0.0625
54,13,"northeast","D","Forest",40.14358,-79.2753,1764.37,537.78,98,7,0,0,0,0,0,0,0,0,0,0,0,0.0102040816326531,0,0,0,0.0408163265306122,0,0,0,0.0102040816326531,0,0,0,0,0,0,0,0,0,0,0,0.0102040816326531,0,0.0102040816326531,0,0,0,0,0,0,0,0.0306122448979592,0,0.0306122448979592,0,0,0.0102040816326531,0,0.0204081632653061,0,0,0.0102040816326531,0.0102040816326531,0,0,0.193877551020408,11,9.3249581462972,0.195165164143819,0,0.0612244897959184,0.13265306122449,-0.0156105492970378,0.753477485131643,-0.718640209546827,15.4298947368421,0.0458881685190385,1.11088517886246,0.255439312027134,0.340169444036492,0.715658843240975,0.619052226860679,0.10372864719593,0.444357707856747,0.815789473684211,0.105263157894737
55,14,"northeast","D","Windthrow",40.1443,-79.2763,1752.85,534.27,112,8,0,0,0,0,0,0,0,0,0,0.00892857142857143,0.0267857142857143,0,0,0,0,0.00892857142857143,0,0.00892857142857143,0,0,0,0,0,0.00892857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535714285714286,0,0.0178571428571429,0,0.00892857142857143,0,0,0.0178571428571429,0,0,0,0,0.00892857142857143,0.0803571428571429,0,0,0.25,11,7.57820080141033,0.17817727020951,0,0.169642857142857,0.0803571428571428,0.286104710034682,1.02644374588706,0.167015317794516,15.9991785714286,0.0439457205156057,1.14206559640411,0.268635991798062,0.369763609159755,0.74246590581644,0.606902146464193,0.0956022767791897,0.45172554805046,0.732142857142857,0.0535714285714286
56,15,"northeast","D","Forest",40.14462,-79.27678,1736.15,529.18,112,8,0,0,0,0,0,0,0,0,0,0.0178571428571429,0.00892857142857143,0,0,0,0,0,0,0,0,0,0,0.0267857142857143,0,0.00892857142857143,0,0,0,0,0,0,0,0,0.00892857142857143,0.00892857142857143,0,0,0,0,0,0.178571428571429,0,0.0178571428571429,0,0,0,0,0.0267857142857143,0,0,0,0,0,0.0267857142857143,0,0,0.330357142857143,10,5.20405601115654,0.129019750553788,0,0.223214285714286,0.107142857142857,-0.523476904375838,0.716809604409303,-0.213027798385663,15.2091351351352,0.0456751644484754,1.10384134362076,0.270343704370777,0.358953174405009,0.702459932505298,0.597251481630647,0.111344847233018,0.420114759714582,0.540540540540541,0.0405405405405405
57,16,"northeast","E","Salvaged",40.1447,-79.27492,1721.98,524.86,112,8,0,0,0,0,0,0,0,0,0,0.00892857142857143,0,0.00892857142857143,0,0,0,0.0714285714285714,0,0,0,0,0,0.00892857142857143,0,0,0,0,0,0,0.0178571428571429,0,0,0,0,0.0535714285714286,0,0,0,0,0.00892857142857143,0.0267857142857143,0,0.0178571428571429,0,0.00892857142857143,0,0,0.0625,0,0,0,0.00892857142857143,0.00892857142857143,0.0178571428571429,0,0,0.330357142857143,14,9.98545226386165,0.156435165397802,0,0.142857142857143,0.1875,-0.397745623898621,0.702217108155617,-0.547694066081783,15.6262702702703,0.0484203608687318,1.09134890465467,0.264788869891239,0.351008674989412,0.72506916406798,0.58499454312754,0.110139003712211,0.426423776005991,0.689189189189189,0.0405405405405405
58,17,"northeast","E","Forest",40.14429,-79.27442,1740.52,530.51,112,8,0,0,0,0,0,0,0,0,0,0,0.0446428571428571,0,0,0,0,0.0267857142857143,0,0,0,0,0,0.0178571428571429,0,0,0,0,0,0,0.0178571428571429,0,0,0,0,0.0178571428571429,0.00892857142857143,0,0,0,0,0,0,0.00892857142857143,0,0.0267857142857143,0,0,0.0178571428571429,0,0,0,0,0,0.0178571428571429,0,0,0.205357142857143,10,9.00386166696109,0.190390943446684,0,0.0982142857142857,0.107142857142857,0.0549731349129581,1.17425724328543,-0.330891854998103,17.2079710144928,0.0465650148840901,1.13090286217143,0.26295554547439,0.353334642284075,0.740769903155037,0.585335737960458,0.101240829753145,0.436268558853578,0.673913043478261,0
59,18,"northeast","E","Windthrow",40.14501,-79.27535,1710.76,521.44,112,8,0,0,0,0,0,0,0,0,0,0,0.00892857142857143,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0.00892857142857143,0,0.0267857142857143,0,0,0,0,0.0982142857142857,0,0,0,0,0,0,0,0.0267857142857143,0,0,0,0,0.00892857142857143,0.00892857142857143,0.00892857142857143,0,0,0,0.0625,0,0,0.294642857142857,10,6.79819372839392,0.168726798438825,0,0.116071428571429,0.178571428571429,0.245814505056383,0.846989703626441,-0.423844632832065,15.8878282828283,0.0472409492456257,1.11207446582269,0.259898548674372,0.35515868965353,0.758331060292944,0.598579698339208,0.098989419611731,0.457115781858868,0.878787878787879,0.0303030303030303
60,19,"northeast","E","Forest",40.14566,-79.27592,1697.01,517.25,112,8,0,0,0,0,0,0,0,0,0,0,0.0178571428571429,0,0,0,0,0,0,0,0,0.00892857142857143,0,0,0,0,0,0,0,0,0.00892857142857143,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0.00892857142857143,0,0,0,0,0.00892857142857143,0.00892857142857143,0,0,0,0,0.0535714285714286,0,0,0.151785714285714,8,6.00801261050014,0.159441710914965,0,0.0714285714285714,0.0803571428571428,0.740186365387324,1.28613462225985,-0.0717367922522807,17.1060784313726,0.0442218073082893,1.13848967977428,0.259811637427615,0.365376312871348,0.776672252800277,0.600468649649598,0.0879530840459456,0.468806741408903,0.852941176470588,0
61,20,"northeast","F","Salvaged",40.14538,-79.27411,1689.99,515.11,112,8,0,0,0,0,0,0,0,0,0,0,0.0357142857142857,0,0,0,0,0.00892857142857143,0,0,0,0.00892857142857143,0,0.00892857142857143,0,0,0,0,0,0,0.00892857142857143,0,0,0,0,0.0267857142857143,0,0,0,0,0,0,0,0.00892857142857143,0,0.00892857142857143,0,0,0.142857142857143,0,0,0.00892857142857143,0,0,0.0892857142857143,0,0,0.357142857142857,11,5.94869777469099,0.163932403938788,0,0.133928571428571,0.223214285714286,0.134949886844069,0.836516764848982,-0.254031480589171,15.5021666666667,0.0464288104194489,1.10842216099006,0.26489293010366,0.359452090096644,0.743574327154151,0.594800892974414,0.0968717755580205,0.443718055641686,0.6875,0
62,21,"northeast","F","Forest",40.14497,-79.27354,1722.15,524.91,84,6,0,0,0,0,0,0,0,0,0.0119047619047619,0,0.0119047619047619,0,0,0,0,0.0595238095238095,0,0,0.0119047619047619,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0.0952380952380952,0,0,0,0,0,0,0,0,0,0.107142857142857,0,0,0.0238095238095238,0,0.0119047619047619,0,0,0.0119047619047619,0.0833333333333333,0,0,0.5,11,7.89208943446504,0.178879143831534,0.0119047619047619,0.154761904761905,0.333333333333333,0.173007536868369,1.01247797705725,-0.513885526136993,15.5380873015873,0.0448349706421159,1.12170440827232,0.257877523862831,0.346642789442501,0.743811129698156,0.600825514405755,0.0982259196232219,0.451349048750713,0.869047619047619,0.0238095238095238
63,22,"northeast","F","Windthrow",40.1457,-79.27448,1665.94,507.78,112,8,0,0,0,0,0,0,0,0,0,0.00892857142857143,0,0,0,0,0,0.0714285714285714,0,0,0.0267857142857143,0.00892857142857143,0,0,0,0,0,0,0,0,0.0178571428571429,0,0,0,0,0.169642857142857,0,0,0,0,0,0,0,0.0178571428571429,0,0,0,0,0.0714285714285714,0,0,0,0,0,0.0625,0,0,0.455357142857143,9,6.02808581655362,0.129977867208191,0,0.133928571428571,0.321428571428571,-0.370348270034182,0.807178381775882,-0.633692910036736,15.4988039215686,0.0477975837808365,1.08661688710708,0.265528927603894,0.346339588396911,0.727817457069265,0.578920654434785,0.106093643649312,0.423796595922411,0.794117647058824,0.00980392156862745
64,23,"northeast","F","Forest",40.14631,-79.27496,1631.69,497.34,112,8,0,0,0,0,0.00892857142857143,0,0,0,0,0,0.00892857142857143,0,0,0,0.00892857142857143,0.0714285714285714,0,0,0,0.00892857142857143,0,0,0,0,0,0,0,0,0.116071428571429,0,0,0.0178571428571429,0,0.0892857142857143,0,0,0,0,0,0.00892857142857143,0,0.00892857142857143,0,0,0.0178571428571429,0.0178571428571429,0,0,0,0,0,0,0.0714285714285714,0,0,0.455357142857143,13,8.10602161654557,0.194160987379369,0,0.196428571428571,0.25,0.568872397498132,0.516641338344412,-0.553990092530708,15.2435294117647,0.0493605930149639,1.10226681948279,0.254035783055586,0.357482609339629,0.791431027529139,0.614413407856427,0.0988019646125564,0.490962183595559,0.84,0.04
