Plot,percent_MOISTURE1,percent_MOISTURE2,percent_MOISTURE3,percent_Moisture_Avg,SoilMoisture_Date
59,10,10,20,13.33333333,2022-08-23
60,40,40,40,40,2022-08-23
61,20,30,60,36.66666667,2022-08-23
62,40,50,40,43.33333333,2022-08-23
63,30,50,55,45,2022-08-23
64,65,90,80,78.33333333,2022-08-23
41,40,50,40,43.33333333,2022-09-06
42,60,70,60,63.33333333,2022-09-06
43,70,70,95,78.33333333,2022-09-06
44,30,50,75,51.66666667,2022-09-06
45,40,50,40,43.33333333,2022-09-06
46,50,50,55,51.66666667,2022-09-06
47,55,70,40,55,2022-09-06
48,60,45,65,56.66666667,2022-09-06
49,60,40,50,50,2022-09-06
50,30,50,30,36.66666667,2022-09-06
51,65,30,40,45,2022-09-06
52,50,30,30,36.66666667,2022-09-06
53,40,30,50,40,2022-09-06
54,25,40,35,33.33333333,2022-09-06
55,50,80,60,63.33333333,2022-09-06
56,50,30,50,43.33333333,2022-09-06
57,40,60,40,46.66666667,2022-09-06
58,35,40,55,43.33333333,2022-09-06
59,20,30,40,30,2022-09-06
60,60,80,30,56.66666667,2022-09-06
61,30,50,50,43.33333333,2022-09-06
62,40,45,40,41.66666667,2022-09-06
63,50,40,60,50,2022-09-06
64,60,60,50,56.66666667,2022-09-06
41,40,45,55,46.66666667,2022-09-20
42,55,60,70,61.66666667,2022-09-20
43,100,100,100,100,2022-09-20
44,90,90,60,80,2022-09-20
45,30,60,60,50,2022-09-20
46,50,40,55,48.33333333,2022-09-20
47,30,40,40,36.66666667,2022-09-20
48,70,60,50,60,2022-09-20
49,65,70,70,68.33333333,2022-09-20
50,50,35,50,45,2022-09-20
51,40,50,30,40,2022-09-20
52,30,20,20,23.33333333,2022-09-20
53,30,40,40,36.66666667,2022-09-20
54,30,30,30,30,2022-09-20
55,70,100,100,90,2022-09-20
56,30,40,20,30,2022-09-20
57,50,40,60,50,2022-09-20
58,30,40,40,36.66666667,2022-09-20
59,30,20,20,23.33333333,2022-09-20
60,60,70,50,60,2022-09-20
61,60,50,40,50,2022-09-20
62,30,40,65,45,2022-09-20
63,70,60,60,63.33333333,2022-09-20
64,50,55,60,55,2022-09-20
