"Plot","days_active","PNR_Code","Area","Transect","Treatment","latitude","longitude","num_nonmissing_intervals","Agonoleptus_thoracicus","Agonum_fidele","Amarini_unknown","Amerizus_unknown","Anisodactylus_harrisi","Anisodactylus_melanopus","Anisodactylus_nigerrimus","Apenes_lucidula","Carabus_goryi","Chlaenius_emarginatus","Cyclotrachelus_fucatus","Cyclotrachelus_unknown_likely_sigillatus_or_convivus_or_mixed","Cymindis_limbata","Cymindis_platicollis","Dicaelus_politus","Dicaelus_teter","Galerita_bicolor","Harpalus_spadiceus","Lophoglossus_scrutator","Myas_coracinus","Notiophilus_aeneus","Olisthopus_unknown_likely_parmatus","Patrobus_longicornis","Platynus_angustatus","Platynus_hypolithos","Platynus_tenuicollis","Platynus_decentis","Pterostichus_adoxus","Pterostichus_atratus","Pterostichus_coracinus","Pterostichus_diligendus","Pterostichus_hamiltoni","Pterostichus_lachrymosus","Pterostichus_moestus","Pterostichus_rostratus","Pterostichus_sayanus","Pterostichus_stygicus","Pterostichus_tristis","Scaphinotus_andrewsii","Scaphinotus_imperfectus","Scaphinotus_ridingsii","Scaphinotus_viduus","Sphaeroderus_canadensis","Sphaeroderus_stenostomus","Synuchus_impunctatus","Trichotichnus_autumnalis","abundance","abundance_per_day","richness_test","richness","shannon_diversity","simpson_diversity","evenness_test","evenness"
"51",111,10,"southwest","C","Windthrow",40.14182,-79.27952,8,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,10,2,0,0,2,3,0,0,0,0,0,11,0,0,50,0.45045045045045,11,11,8.11679150170652,6.83060109289617,0.620963735717834,0.620963735717834
"52",98,11,"southwest","C","Forest",40.14174,-79.27862,7,0,0,0,0,0,0,1,1,1,2,0,0,0,0,9,2,0,0,0,0,0,0,0,13,0,1,0,12,0,0,0,0,7,1,0,0,6,1,0,1,1,0,1,4,0,0,64,0.653061224489796,17,17,10.5086273582093,8,0.470588235294118,0.470588235294118
"53",112,12,"northeast","D","Salvaged",40.14405,-79.27582,8,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,10,1,0,0,0,6,1,0,0,1,4,0,0,0,0,0,4,1,0,40,0.357142857142857,13,13,9.17103865260097,7.27272727272727,0.559440559440559,0.559440559440559
"54",98,13,"northeast","D","Forest",40.14358,-79.2753,7,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,3,0,0,1,0,2,0,0,1,1,0,0,19,0.193877551020408,11,11,9.3249581462972,8.02222222222222,0.729292929292929,0.729292929292929
"55",112,14,"northeast","D","Windthrow",40.1443,-79.2763,8,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,2,0,0,0,0,1,9,0,0,28,0.25,11,11,7.57820080141033,5.6,0.509090909090909,0.509090909090909
"56",112,15,"northeast","D","Forest",40.14462,-79.27678,8,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,20,2,0,0,0,3,0,0,0,0,0,3,0,0,37,0.330357142857143,10,10,5.20405601115654,3.11845102505695,0.311845102505695,0.311845102505695
"57",112,16,"northeast","E","Salvaged",40.1447,-79.27492,8,0,0,0,0,0,0,0,1,0,1,0,8,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,6,0,0,0,1,5,4,2,0,0,7,0,0,0,2,1,2,0,0,44,0.392857142857143,14,14,10.86722110332,9.04672897196262,0.646194926568758,0.646194926568758
"58",112,17,"northeast","E","Forest",40.14429,-79.27442,8,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,3,0,0,2,0,0,0,0,0,2,0,0,23,0.205357142857143,10,10,9.00386166696109,8.13846153846154,0.813846153846154,0.813846153846154
"59",112,18,"northeast","E","Windthrow",40.14501,-79.27535,8,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,11,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,7,0,0,33,0.294642857142857,10,10,6.79819372839392,5.21052631578947,0.521052631578947,0.521052631578947
"60",112,19,"northeast","E","Forest",40.14566,-79.27592,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,6,0,0,17,0.151785714285714,8,8,6.00801261050014,4.73770491803279,0.592213114754098,0.592213114754098
"61",112,20,"northeast","F","Salvaged",40.14538,-79.27411,8,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,1,0,0,16,0,0,1,0,0,11,0,0,41,0.366071428571429,11,11,5.88621968476693,4.11002444987775,0.373638586352523,0.373638586352523
"62",84,21,"northeast","F","Forest",40.14497,-79.27354,6,0,0,0,0,0,0,1,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,9,0,0,2,0,1,0,0,1,7,0,0,43,0.511904761904762,11,11,7.88846593154151,6.72363636363636,0.611239669421488,0.611239669421488
"63",112,22,"northeast","F","Windthrow",40.1457,-79.27448,8,0,0,0,0,0,0,0,1,0,0,0,8,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,19,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,7,0,0,51,0.455357142857143,9,9,6.02808581655362,4.66965888689407,0.518850987432675,0.518850987432675
"64",112,23,"northeast","F","Forest",40.14631,-79.27496,8,0,0,0,1,0,0,0,0,1,0,1,8,0,0,0,1,0,0,0,0,0,0,0,13,0,2,0,10,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,8,0,0,51,0.455357142857143,13,13,8.10602161654557,6.26746987951807,0.482113067655236,0.482113067655236
